NO;LOKASI PENGUNGSIAN;ALAMAT
JAKARTA PUSAT;;
1;Apartemen Batavia;Jl. K.H. Mas Mansyur, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220
2;Masjid Matlaul Anwar;Jl. Karet Pasar Baru Barat 4 No.8, RT.6/RW.4, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250
3;GOR Kecamatan Tanah Abang;Jl. Mutiara No.16, RT.14/RW.5, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250
4;RPTRA Segas;Jl. Karet Pasar Baru Barat I No.004 /06, RT.6/RW.7, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220
5;Masjid Itishom;Jl. H. Abdul Jalil No.9, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250
6;Parkiran Prince Center ;Prince Center, Jl. Jenderal Sudirman No.Kav 3 10, RT.10/RW.4, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220
7;Masjid Al Jihad;Jl. Kramat Jaya RT 001 RW 01 No.38, RT.1/RW.1, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560
8;Masjid An-Nur;Jl. Kelinci III No.41, RT.11/RW.4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710
9;RS Siloam;10, Jl. Pasar Baru Timur Dalam No.9, RT.10/RW.4, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710
JAKARTA UTARA;;
1;Rusun Semper Barat;Jl. Belibis V, RT.19/RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130
2;Rusun Embrio;Jl. Belibis V, RT.19/RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130
3;RPTRA Triputra Persada & Aula Cece Rahma;RPTRA TRIPUTRA PERSADA HIJAU, ASRAMA LINGKUNGAN HIDUP, RT.3/RW.3, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130
4;SMP Yaspi;Jl. Kebersihan No.1, RT.4/RW.4, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130
5;RPTRA Intiland Teduh ;Jl. Komp. Pemadam Kebakaran No.71, RT.14/RW.1, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130
6;SMP 143;Jl. Cilincing Bakti No.9 No.1 1, RT.1/RW.6, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120
7;Aula Kelurahan Cilincing ;Jl. Cilincing No.36, RT.4/RW.9, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120
8;SDN 02 Cilincing;Jl. Bakti VI, RT.5/RW.9, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120
9;Masjid Baiturahim ;Jl. Tlk. Langsa No.10, RT.1/RW.8, Sukapura, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140
10;SD 09 Pejagalan;Jl. Cenang I, RT.7/RW.12, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450
11;Masjid Baitul Muttaqin ;Jl. Gusti Permata 9 No.11 3, RT.11/RW.15, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450
13;Kantor Kelurahan Pejagalan;Jl. Boncel No.1 8, RT.8/RW.12, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450
14;Kantor Kelurahan Pegangsaan Dua;Blok PA 3, Jl. Raya Kelapa Nias No.8, RT.1/RW.14, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250
JAKARTA BARAT;;
1;Masjid Jami' Ar-Rohmah;Jl. Daan Mogot No.35B, RT.5/RW.1, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850
2;Masjid Baitunnur ;Jl. Kp. Malang No.Rt09/03, RT.9/RW.3, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850
3;Kantor PDI;Jl. Semanan Pintu Air No.08, RT.10/RW.8, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850
4;Kantor Kelurahan Semanan;Jl. Semanan Raya No.45 6, RT.6/RW.7, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850
5;Sekolah SD 02 Semanan ;Jl.Semanan Raya No.38 Rt.006/007, RT.6/RW.7, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850
6;Masjid Hasyim Ashari;Jalan Daan Mogot KM 14,5 No.14, RT.3/RW.14, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750
7;TK AL-Amin & Yayasan Putri Mandiri;Jl. Nuri I No.15, RT.8/RW.6, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
8;Masjid Assalam;Jl. Merpati I No.06 4, RT.4/RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540
9;Masjid Al Barokah;Jl. Cendrawasih Raya, RT.8/RW.7, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
10;Gereja Trinitas;Jl. Utama III No.23, RT.11/RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
11;Masjid Baiturrahman;Jl. Mesjid Raya No.RT. 08/02 9, RT.8/RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
12;SDN 07 Pagi Cengkareng Barat;Jl. Rw. Kramat No.4 1, RT.4/RW.4, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
13;RPTRA Anggrek;Jl. Komp. Kebersihan Dpu Jl. Menceng Raya, RT.8/RW.4, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820
14;SDN 01 Kembangan;1, Jl. Kembangan Utara No.83, RT.1/RW.2, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610
15;SDN 09 Kedoya Utara;Jl. Kedoya Raya Pesing Koneng No.RT. 010/08, RT.14/RW.8, Kedoya Utara, Kec. Kb. Jeruk, Kota Adm. Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520
16;Gereja Siti Maryam;Jl. Kedoya Pesing, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520
17;SDN 05 dan 014, Kapuk;Jl. Mawar SCB No.7 4, RT.7/RW.1, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
18;SMP 100 Kapuk;Jl. Obsidian No.1 3, RT.3/RW.8, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
19;Masjid Jami' Al-Amin;Jl. Alamin No.165 17, RT.3/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
20;Majlis Ta'lim Miftahul;Jl. Pedongkelan Baru No.9, RT.8/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
21;Masjid At-Taqwa;RT.6/RW.2, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
22;Masjid Uswatun Hasanah;Jl.Daan Mogot No.100 Pesing, RT.1/RW.5, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
23;Masjid darul Arqom;Jl. Swadaya Jl. Daan Mogot No.6, RT.6/RW.5, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
